"","age","year","meansize"
"118","1.1",1999,321.254977520873
"119","1.1",2001,351.853487205218
"120","1.1",2002,385.865949820789
"121","1.1",2003,358.058191584602
"122","1.1",2004,325.255425709516
"123","1.1",2005,364.952898692939
"124","1.1",2006,347.375792319165
"125","1.1",2007,358.337119315337
"126","1.1",2008,321.330458207701
"127","1.1",2009,331.007450566038
"128","1.1",2010,355.476879009035
"129","1.1",2011,362.807615511262
"130","1.1",2012,326.859691186343
"131","1.1",2013,326.742600002525
"132","1.1",2014,337.803374067035
"133","1.1",2015,352.798615514007
"134","1.1",2016,346.619580346466
"135","1.1",2017,353.56527119897
"136","1.1",2018,348.822443116393
"137","1.1",2019,353.066797710989
"138","1.1",2020,337.648940236457
"139","1.2",1963,510.826535865766
"140","1.2",1964,505.590841117794
"141","1.2",1965,499.029809878339
"142","1.2",1966,492.995010190779
"143","1.2",1967,504.332197284566
"144","1.2",1968,502.876646709105
"145","1.2",1969,513.87959034039
"146","1.2",1970,496.346188979968
"147","1.2",1971,510.473416661156
"148","1.2",1972,500.826692827017
"149","1.2",1973,508.738346045414
"150","1.2",1974,515.644383026541
"151","1.2",1975,510.310393972888
"152","1.2",1976,514.278941231505
"153","1.2",1977,511.191991846403
"154","1.2",1978,510.786496789629
"155","1.2",1979,523.138203700555
"156","1.2",1980,504.108911024439
"157","1.2",1981,522.939965054592
"158","1.2",1982,509.351626412319
"159","1.2",1983,519.109413764038
"160","1.2",1984,493.100265079044
"161","1.2",1985,510.848256523964
"162","1.2",1986,515.475942575685
"163","1.2",1987,511.48318848594
"164","1.2",1988,509.744487438737
"165","1.2",1989,502.088018850779
"166","1.2",1990,487.010877658916
"167","1.2",1991,493.946775241773
"168","1.2",1992,494.656616974368
"169","1.2",1993,507.049407141899
"170","1.2",1994,487.128869551781
"171","1.2",1995,504.640417104535
"172","1.2",1996,501.492324749359
"173","1.2",1997,500.279577692402
"174","1.2",1998,494.026944638672
"175","1.2",1999,505.800778243879
"176","1.2",2000,500.89086325827
"177","1.2",2001,496.647444946006
"178","1.2",2002,491.179586352604
"179","1.2",2003,505.588979831988
"180","1.2",2004,503.496821281112
"181","1.2",2005,496.414474797137
"182","1.2",2006,490.618233789553
"183","1.2",2007,499.631183637973
"184","1.2",2008,492.404919548857
"185","1.2",2009,504.558351513227
"186","1.2",2010,487.425671681586
"187","1.2",2011,493.426548247156
"188","1.2",2012,495.643193111194
"189","1.2",2013,491.743084384737
"190","1.2",2014,489.437490331983
"191","1.2",2015,482.120064902644
"192","1.2",2016,493.851823095412
"193","1.2",2017,502.87878616346
"194","1.2",2018,477.312375615614
"195","1.2",2019,485.686142985381
"196","1.2",2020,474.881238034754
"197","1.3",1963,576.858904059482
"198","1.3",1964,567.981788770556
"199","1.3",1965,556.216599176109
"200","1.3",1966,563.918006113054
"201","1.3",1967,574.194519916294
"202","1.3",1968,575.064809219102
"203","1.3",1969,575.668700925134
"204","1.3",1970,556.568636662531
