"","year","Egegik","Igushik","Kvichak","Naknek","Nushagak","Ugashik","Wood"
"24",1986,541.358948289685,568.25271553437,543.220732653875,561.307738425096,549.278480225198,563.477387083452,546.840620915608
"25",1987,555.6256515863,563.665087836147,516.500203790789,561.298184013936,555.371457035212,559.379541578918,531.37237125066
"26",1988,555.137753311936,570.044223050459,547.550248354727,540.615626630667,557.769085043208,554.400145750237,550.03117783374
"27",1989,549.647428167018,552.432783309214,518.575753309784,523.622417935266,549.517180101752,531.488966556851,538.008105157702
"28",1990,535.766193064083,548.088830661319,509.467028653963,531.250301143623,539.670649799448,539.303750187094,528.584836844832
"29",1991,531.310029973456,558.815335742873,514.931667457987,549.620878245218,544.850518058695,533.580506042299,527.916182469828
"30",1992,529.92242553384,539.628927146336,522.137004816826,543.159665745119,535.226455020292,540.413280185707,508.136829035064
"31",1993,550.944179976032,546.992573352331,538.000005880151,558.609528861726,557.485566622597,550.905029823664,527.272846384204
"32",1994,537.986871845295,544.781117698741,507.481319590798,515.208721801085,549.005416607397,530.233618877279,530.86184166906
"33",1995,535.584825426709,546.481959747195,520.058005702937,529.442754762186,530.727130740524,536.929567280904,517.121586883232
"34",1996,561.789550424409,567.049695065823,555.518909380236,571.586598264682,553.657167957969,574.103083425708,533.557884138726
"35",1997,539.5178691846,532.167672616139,534.468401033485,548.022128685517,560.593015900417,544.780770257496,531.100499920442
"36",1998,552.100398609821,520.17396498871,523.914532489334,526.537501461822,546.968364182737,549.273445536413,504.423404322304
"37",1999,527.430122064104,534.054091733212,520.507092842876,523.427838530517,557.527136587083,526.508705148711,515.467173975095
"38",2000,554.693473115133,565.234885000102,549.253412888497,553.744924043798,547.244262501125,560.444047674438,534.254695870846
"39",2001,569.921663394351,586.084150422734,580.087152257561,577.304697290999,576.878478565394,565.413689559961,570.38118489317
"40",2002,542.517299898328,526.298252730578,526.869261720142,528.021482223585,548.217373077974,538.891710216867,505.179178559677
"41",2003,564.506219970411,565.765893580786,537.72561132857,553.159574934841,573.922855091589,540.133894228213,549.204054181322
"42",2004,523.680576598775,543.096100672992,521.475987341632,531.073055736071,562.259141583217,545.21106881379,524.541193606615
"43",2005,551.644389796794,561.475517701529,551.484123804365,557.820047094011,559.428047174826,563.633207564757,534.434508826399
"44",2006,547.259777285106,531.554990492925,527.617532907705,521.106763802497,551.892683501805,530.870702319995,515.541027554259
"45",2007,540.723128772393,515.183383772949,532.011974275227,523.038603584455,553.728239493606,528.50118106176,515.072573890767
"46",2008,519.917166980441,535.200201281276,507.241769107337,541.33780120566,538.175775616445,536.046668607576,504.402846281318
"47",2009,533.443099260181,554.816799098241,534.920578272381,527.744936176828,563.864052198873,533.081630909646,541.101213888173
"48",2010,519.02493942974,549.580568910798,514.321196679199,521.05371864996,553.194596814676,534.29893539673,516.595242859602
"49",2011,543.562719975346,558.673038686112,542.603850527915,526.274254794138,564.755590444448,536.105881888147,535.509020834542
"50",2012,520.207405455422,554.873859819701,517.105479694985,529.456841762231,548.12552898332,523.714184315492,517.240342001746
