"","age","year","meansize"
"77","1.1",1971,361.212968138625
"78","1.1",1973,392.071899736148
"79","1.1",1974,559.628990057562
"80","1.1",1975,341.332153131224
"81","1.1",1976,330
"82","1.1",1977,356.719959524412
"83","1.1",1978,468.060589721988
"84","1.1",1979,326.291452314998
"85","1.1",1980,376.109533379937
"86","1.1",1981,350
"87","1.1",1982,369.888005537842
"88","1.1",1983,357.88286682118
"89","1.1",1984,338.283963771977
"90","1.1",1985,371.116766051865
"91","1.1",1986,319.360983981693
"92","1.1",1987,332.604444444444
"93","1.1",1988,354.392599711677
"94","1.1",1989,339.152961265391
"95","1.1",1990,305.117647058824
"96","1.1",1991,332.590804597701
"97","1.1",1992,352.482959542656
"98","1.1",1993,332.308860759494
"99","1.1",1994,347.631067649888
"100","1.1",1995,409.622495744402
"101","1.1",1996,386.330823023131
"102","1.1",1997,347.866705336427
"103","1.1",1998,355.147254606304
"104","1.1",1999,321.254977520873
"105","1.1",2001,377.158616577221
"106","1.1",2002,385.865949820789
"107","1.1",2003,357.080224671471
"108","1.1",2004,325.255425709516
"109","1.1",2005,354.360962417754
"110","1.1",2006,343.154320511832
"111","1.1",2007,359.237343405433
"112","1.1",2008,321.33178454655
"113","1.1",2009,329.799785721363
"114","1.1",2010,352.801243662986
"115","1.1",2011,362.807615511262
"116","1.1",2012,328.848610399888
"117","1.1",2013,327.082406404027
"118","1.1",2014,337.697911121865
"119","1.1",2015,352.579667559044
"120","1.1",2016,345.439582004503
"121","1.1",2017,352.462125164726
"122","1.1",2018,348.646035904509
"123","1.1",2019,353.192582709397
"124","1.1",2020,336.625785882423
"125","1.2",1963,506.634690854848
"126","1.2",1964,494.756643668033
"127","1.2",1965,492.597093525049
"128","1.2",1966,486.272855674307
"129","1.2",1967,498.340616046936
"130","1.2",1968,498.743855303089
"131","1.2",1969,511.224754121785
"132","1.2",1970,488.180338532211
"133","1.2",1971,502.500036707113
"134","1.2",1972,497.310273103514
"135","1.2",1973,505.367940356499
"136","1.2",1974,514.04982141015
"137","1.2",1975,507.544053020343
"138","1.2",1976,516.544576504453
"139","1.2",1977,509.535539170997
"140","1.2",1978,501.642469327723
"141","1.2",1979,518.340042913566
"142","1.2",1980,499.376539181868
"143","1.2",1981,517.74856601538
"144","1.2",1982,499.86347487645
"145","1.2",1983,506.516823972071
"146","1.2",1984,480.731626651164
"147","1.2",1985,498.857464422633
"148","1.2",1986,506.659150839975
"149","1.2",1987,509.010043528689
"150","1.2",1988,504.820141546049
"151","1.2",1989,497.375172099049
"152","1.2",1990,471.961455363303
"153","1.2",1991,489.188220705839
"154","1.2",1992,486.305295273307
"155","1.2",1993,501.033674331521
"156","1.2",1994,476.162130259072
"157","1.2",1995,496.873932830074
"158","1.2",1996,492.082726001725
"159","1.2",1997,497.344215921262
"160","1.2",1998,491.284761693092
"161","1.2",1999,496.197496846817
"162","1.2",2000,495.392821445468
"163","1.2",2001,501.421084982353
"164","1.2",2002,489.650611826836
"165","1.2",2003,500.217549105053
"166","1.2",2004,493.226325317416
"167","1.2",2005,492.781091688292
"168","1.2",2006,479.313025725241
"169","1.2",2007,494.434885076423
"170","1.2",2008,486.069079678265
"171","1.2",2009,495.773268733393
"172","1.2",2010,480.140602692169
"173","1.2",2011,490.022031786298
"174","1.2",2012,490.785272279695
"175","1.2",2013,486.275541684688
"176","1.2",2014,480.401424081884
"177","1.2",2015,473.725457062672
"178","1.2",2016,485.367514475335
"179","1.2",2017,498.614124747039
"180","1.2",2018,469.160889194883
"181","1.2",2019,475.186765028785
"182","1.2",2020,464.717148590605
"183","1.3",1963,576.581045704828
"184","1.3",1964,564.116830405848
"185","1.3",1965,549.854005719881
"186","1.3",1966,559.27855383254
"187","1.3",1967,571.384130025285
"188","1.3",1968,571.18244517013
"189","1.3",1969,574.550513273207
"190","1.3",1970,552.719462596967
"191","1.3",1971,568.474498765986
"192","1.3",1972,565.811766783425
"193","1.3",1973,575.223447125064
"194","1.3",1974,562.678015309873
"195","1.3",1975,566.456076425762
"196","1.3",1976,575.709886336949
"197","1.3",1977,578.249938214171
"198","1.3",1978,573.661389289262
"199","1.3",1979,576.31394166222
"200","1.3",1980,566.359895478048
"201","1.3",1981,578.547295564464
"202","1.3",1982,577.872708265097
"203","1.3",1983,559.991627974256
"204","1.3",1984,563.26747394944
"205","1.3",1985,568.639459255296
"206","1.3",1986,569.88148745873
"207","1.3",1987,574.069481101975
"208","1.3",1988,581.859437004777
"209","1.3",1989,583.236254929645
"210","1.3",1990,561.155577885681
"211","1.3",1991,562.847447495844
"212","1.3",1992,553.655797232369
"213","1.3",1993,575.374045969971
"214","1.3",1994,555.212343475804
"215","1.3",1995,562.980115792225
"216","1.3",1996,575.734625880282
"217","1.3",1997,571.429675028506
"218","1.3",1998,553.238070382356
"219","1.3",1999,563.932858533609
"220","1.3",2000,570.434832432953
"221","1.3",2001,584.907903712313
"222","1.3",2002,575.441918693011
"223","1.3",2003,578.879131041084
"224","1.3",2004,569.228602356045
"225","1.3",2005,571.458478313737
"226","1.3",2006,550.000312146035
"227","1.3",2007,568.311952003995
"228","1.3",2008,553.139595421808
"229","1.3",2009,565.485651370021
"230","1.3",2010,566.67391100677
"231","1.3",2011,571.250397667711
"232","1.3",2012,562.247006106168
"233","1.3",2013,567.429782748343
"234","1.3",2014,565.989331388405
"235","1.3",2015,548.553275192645
"236","1.3",2016,552.062744139795
"237","1.3",2017,557.282092275137
"238","1.3",2018,551.9585102566
"239","1.3",2019,545.741146625456
"240","1.3",2020,535.323811845705
"241","1.4",1963,574.192546583851
"242","1.4",1964,537
"243","1.4",1966,574.186196623635
"244","1.4",1967,603.178475033738
"245","1.4",1968,561.180054907833
"246","1.4",1969,529.270341207349
"247","1.4",1971,594
"248","1.4",1972,551.403602726388
"249","1.4",1973,585.513834951456
"250","1.4",1974,590.251751950284
"251","1.4",1975,573.817716791166
"252","1.4",1976,598.271438217421
"253","1.4",1977,568.560505319149
"254","1.4",1978,590.414118188089
"255","1.4",1980,547.456806874717
"256","1.4",1981,623.498211946323
"257","1.4",1982,596.076411271756
"258","1.4",1983,582.099029126214
"259","1.4",1984,578.55512465374
"260","1.4",1985,584.701796922798
"261","1.4",1986,590.123268908842
"262","1.4",1987,583.573375931842
"263","1.4",1988,599.743213660245
"264","1.4",1989,603.919679730299
"265","1.4",1990,572.546969313623
"266","1.4",1991,594.378352632989
"267","1.4",1992,579.371507403273
"268","1.4",1993,594.361734353098
"269","1.4",1994,581.735374834195
"270","1.4",1995,570.718633694484
"271","1.4",1996,590.221735426555
"272","1.4",1997,594.01654808997
"273","1.4",1998,579.111124221257
"274","1.4",1999,601.599583307801
"275","1.4",2000,583.588345679012
"276","1.4",2001,601.997845555662
"277","1.4",2002,598.876895050656
"278","1.4",2003,589.767987282954
"279","1.4",2004,596.773405653443
"280","1.4",2005,587.298336932647
"281","1.4",2006,581.222398352726
"282","1.4",2007,581.692929058517
"283","1.4",2008,584.786389773321
"284","1.4",2009,594.407870550631
"285","1.4",2010,585.976193178594
"286","1.4",2011,596.679592426055
"287","1.4",2012,595.55677353188
"288","1.4",2013,587.731723642133
"289","1.4",2014,591.02978912009
"290","1.4",2015,586.751098096633
"291","1.4",2016,576.100988511889
"292","1.4",2017,564.592295141023
"293","1.4",2018,570.871345267708
"294","1.4",2019,574.860933354144
"295","1.4",2020,563.272536320672
"296","2.1",1963,387.120150711694
"297","2.1",1964,387.18175623053
"298","2.1",1965,368.412820512821
"299","2.1",1966,368.960281942269
"300","2.1",1967,358.956865956866
"301","2.1",1968,387.432166847372
"302","2.1",1969,372.673466967606
"303","2.1",1970,338.268243828497
"304","2.1",1971,381.365910867866
"305","2.1",1973,353.051558073654
"306","2.1",1974,349.535215543412
"307","2.1",1975,432.186029813471
"308","2.1",1976,379.275362318841
"309","2.1",1977,376.644724977457
"310","2.1",1978,388.402170975434
"311","2.1",1979,391.811727955196
"312","2.1",1980,394.498903810229
"313","2.1",1981,462.459758551308
"314","2.1",1982,376.800618769337
"315","2.1",1983,363.777071022105
"316","2.1",1984,378.133189136671
"317","2.1",1985,408.839695479641
"318","2.1",1986,360.609899255366
"319","2.1",1987,363.07155858339
"320","2.1",1988,370.170426507817
"321","2.1",1989,370.470445165094
"322","2.1",1990,355.171228838541
"323","2.1",1991,364.608306061304
"324","2.1",1992,373.923044427867
"325","2.1",1993,366.722241931586
"326","2.1",1994,371.670132810214
"327","2.1",1995,363.514935064935
"328","2.1",1996,365.615913910572
"329","2.1",1997,360.187503709713
"330","2.1",1998,376.12585046258
"331","2.1",1999,356.146486308149
"332","2.1",2000,345.090700344432
"333","2.1",2001,349.062453915352
"334","2.1",2002,353.784758965314
"335","2.1",2003,389.881963282257
"336","2.1",2004,373.194257685314
"337","2.1",2005,377.467571518756
"338","2.1",2006,368.322564113515
"339","2.1",2007,369.307477158307
"340","2.1",2008,352.926834589929
"341","2.1",2009,348.947295105826
"342","2.1",2010,360.94703732796
"343","2.1",2011,374.443257240325
"344","2.1",2012,348.135432098765
"345","2.1",2013,342.822967641431
"346","2.1",2014,359.943313846115
"347","2.1",2015,378.777680419913
"348","2.1",2016,382.704230340621
"349","2.1",2017,395.575139084389
"350","2.1",2018,366.787581740207
"351","2.1",2019,386.139213635725
"352","2.1",2020,355.905404700798
"353","2.2",1963,527.261460356493
"354","2.2",1964,502.924590747027
"355","2.2",1965,484.873471938319
"356","2.2",1966,509.949204401848
"357","2.2",1967,525.856598786125
"358","2.2",1968,517.679401847611
"359","2.2",1969,518.26382435929
"360","2.2",1970,495.500281277478
"361","2.2",1971,522.18130898624
"362","2.2",1972,517.077068092092
"363","2.2",1973,524.024866726811
"364","2.2",1974,518.724580654111
"365","2.2",1975,506.216349985992
"366","2.2",1976,509.343054346542
"367","2.2",1977,531.605202007289
"368","2.2",1978,517.839306090782
"369","2.2",1979,525.873530740618
"370","2.2",1980,506.868540994893
"371","2.2",1981,530.135324805199
"372","2.2",1982,522.782654051914
"373","2.2",1983,522.64229192241
"374","2.2",1984,501.241013344041
"375","2.2",1985,516.682061053012
"376","2.2",1986,523.634701361307
"377","2.2",1987,515.901352300786
"378","2.2",1988,521.522057335274
"379","2.2",1989,510.861156788608
"380","2.2",1990,490.849325258965
"381","2.2",1991,495.491972563559
"382","2.2",1992,499.545968308043
"383","2.2",1993,526.682828764053
"384","2.2",1994,494.626037563683
"385","2.2",1995,507.348411652477
"386","2.2",1996,517.529476938053
"387","2.2",1997,507.256415086341
"388","2.2",1998,503.647404706169
"389","2.2",1999,507.507470711077
"390","2.2",2000,513.642371401005
"391","2.2",2001,511.179583547747
"392","2.2",2002,508.966724927726
"393","2.2",2003,516.650022203032
"394","2.2",2004,513.22966320988
"395","2.2",2005,518.249364199085
"396","2.2",2006,491.469338924248
"397","2.2",2007,505.837042248779
"398","2.2",2008,489.400665366737
"399","2.2",2009,507.619755091292
"400","2.2",2010,498.895571694099
"401","2.2",2011,512.972616612964
"402","2.2",2012,502.269938617587
"403","2.2",2013,509.095778542031
"404","2.2",2014,505.553472005268
"405","2.2",2015,497.873765781394
"406","2.2",2016,499.431919301064
"407","2.2",2017,520.560144977193
"408","2.2",2018,485.503578737364
"409","2.2",2019,473.273932721538
"410","2.2",2020,476.711133227636
"411","2.3",1963,582.143320568378
"412","2.3",1964,569.838778227478
"413","2.3",1965,563.568279998899
"414","2.3",1966,568.046698954299
"415","2.3",1967,580.938163645219
"416","2.3",1968,585.783941318019
"417","2.3",1969,585.461293170822
"418","2.3",1970,560.411292177575
"419","2.3",1971,570.745816293862
"420","2.3",1972,567.242750323561
"421","2.3",1973,590.511919839546
"422","2.3",1974,579.958758277839
"423","2.3",1975,566.598857109494
"424","2.3",1976,570.229264666455
"425","2.3",1977,586.136586894892
"426","2.3",1978,588.460420241992
"427","2.3",1979,578.601385375747
"428","2.3",1980,564.459812662132
"429","2.3",1981,578.980297390822
"430","2.3",1982,585.732682199818
"431","2.3",1983,577.146215952444
"432","2.3",1984,575.13039585111
"433","2.3",1985,581.818407644694
"434","2.3",1986,576.757860311939
"435","2.3",1987,587.243979617995
"436","2.3",1988,588.679418334269
"437","2.3",1989,594.602796337217
"438","2.3",1990,572.302132216396
"439","2.3",1991,566.879838723426
"440","2.3",1992,561.607226154155
"441","2.3",1993,577.41173643792
"442","2.3",1994,565.520582783068
"443","2.3",1995,575.052576829341
"444","2.3",1996,579.358990062013
"445","2.3",1997,583.5656127558
"446","2.3",1998,563.725381027934
"447","2.3",1999,567.093331968457
"448","2.3",2000,575.84662844493
"449","2.3",2001,588.366239090284
"450","2.3",2002,587.121007724077
"451","2.3",2003,584.481419725215
"452","2.3",2004,580.429254915456
"453","2.3",2005,576.449792769642
"454","2.3",2006,559.378787327904
"455","2.3",2007,578.289673688184
"456","2.3",2008,559.437488863812
"457","2.3",2009,573.778401111217
"458","2.3",2010,567.37656865041
"459","2.3",2011,579.064297220974
"460","2.3",2012,564.064934659295
"461","2.3",2013,567.787912756876
"462","2.3",2014,573.065685097045
"463","2.3",2015,562.899922200472
"464","2.3",2016,562.327849026139
"465","2.3",2017,571.331608502916
"466","2.3",2018,561.154084025466
"467","2.3",2019,554.217515239645
"468","2.3",2020,539.504713975474
