"","age","year","meansize"
"83","1.1",1960,345.673923041545
"84","1.1",1961,361
"85","1.1",1962,334.998448008277
"86","1.1",1964,376.766148814391
"87","1.1",1965,359.133971646998
"88","1.1",1966,333.616343798709
"89","1.1",1967,348
"90","1.1",1968,361.212968138625
"91","1.1",1969,431
"92","1.1",1970,392.046373626374
"93","1.1",1971,529.031298904538
"94","1.1",1972,344.553617571059
"95","1.1",1973,330
"96","1.1",1974,356.719959524412
"97","1.1",1975,470.896565397755
"98","1.1",1976,326.291452314998
"99","1.1",1977,392.706635358279
"100","1.1",1978,350
"101","1.1",1979,368.296843795277
"102","1.1",1980,357.88286682118
"103","1.1",1981,338.283963771977
"104","1.1",1982,378.691353520613
"105","1.1",1983,314.316916488223
"106","1.1",1984,351.18253968254
"107","1.1",1985,353.120157736024
"108","1.1",1986,339.863069139966
"109","1.1",1987,305.117647058824
"110","1.1",1988,332.590804597701
"111","1.1",1989,352.482959542656
"112","1.1",1990,332.308860759494
"113","1.1",1991,351.160726786737
"114","1.1",1992,409.622495744402
"115","1.1",1993,386.330823023131
"116","1.1",1994,347.450464720818
"117","1.1",1995,355.540464082444
"118","1.1",1996,321.254977520873
"119","1.1",1998,351.853487205218
"120","1.1",1999,385.865949820789
"121","1.1",2000,358.058191584602
"122","1.1",2001,325.255425709516
"123","1.1",2002,364.952898692939
"124","1.1",2003,347.375792319165
"125","1.1",2004,358.337119315337
"126","1.1",2005,321.330458207701
"127","1.1",2006,331.007450566038
"128","1.1",2007,355.476879009035
"129","1.1",2008,362.807615511262
"130","1.1",2009,326.859691186343
"131","1.1",2010,326.742600002525
"132","1.1",2011,337.803374067035
"133","1.1",2012,352.798615514007
"134","1.1",2013,346.619580346466
"135","1.1",2014,353.56527119897
"136","1.2",1960,505.590841117794
"137","1.2",1961,499.029809878339
"138","1.2",1962,492.995010190779
"139","1.2",1963,504.332197284566
"140","1.2",1964,502.876646709105
"141","1.2",1965,513.87959034039
"142","1.2",1966,496.346188979968
"143","1.2",1967,510.473416661156
"144","1.2",1968,500.826692827017
"145","1.2",1969,508.738346045414
"146","1.2",1970,515.644383026541
"147","1.2",1971,510.310393972888
"148","1.2",1972,514.278941231505
"149","1.2",1973,511.191991846403
"150","1.2",1974,510.786496789629
"151","1.2",1975,523.138203700555
"152","1.2",1976,504.108911024439
"153","1.2",1977,522.939965054592
"154","1.2",1978,509.351626412319
"155","1.2",1979,519.109413764038
"156","1.2",1980,493.100265079044
"157","1.2",1981,510.848256523964
"158","1.2",1982,515.475942575685
"159","1.2",1983,511.48318848594
"160","1.2",1984,509.744487438737
"161","1.2",1985,502.088018850779
"162","1.2",1986,487.010877658916
"163","1.2",1987,493.946775241773
"164","1.2",1988,494.656616974368
"165","1.2",1989,507.049407141899
"166","1.2",1990,487.128869551781
"167","1.2",1991,504.640417104535
"168","1.2",1992,501.492324749359
"169","1.2",1993,500.279577692402
"170","1.2",1994,494.026944638672
"171","1.2",1995,505.800778243879
"172","1.2",1996,500.89086325827
"173","1.2",1997,496.647444946006
"174","1.2",1998,491.179586352604
"175","1.2",1999,505.588979831988
"176","1.2",2000,503.496821281112
"177","1.2",2001,496.414474797137
"178","1.2",2002,490.618233789553
"179","1.2",2003,499.631183637973
"180","1.2",2004,492.404919548857
"181","1.2",2005,504.558351513227
"182","1.2",2006,487.425671681586
"183","1.2",2007,493.426548247156
"184","1.2",2008,495.643193111194
"185","1.2",2009,491.743084384737
"186","1.2",2010,489.437490331983
"187","1.2",2011,482.120064902644
"188","1.2",2012,493.851823095412
"189","1.2",2013,502.87878616346
"190","1.2",2014,477.312375615614
"191","1.3",1960,556.216599176109
"192","1.3",1961,563.918006113054
"193","1.3",1962,574.194519916294
"194","1.3",1963,575.064809219102
"195","1.3",1964,575.668700925134
"196","1.3",1965,556.568636662531
"197","1.3",1966,572.08200490191
"198","1.3",1967,569.61309395112
"199","1.3",1968,577.909293828589
"200","1.3",1969,563.373943244718
"201","1.3",1970,567.751067096935
"202","1.3",1971,576.322526631076
"203","1.3",1972,582.39119157929
"204","1.3",1973,577.528426270457
"205","1.3",1974,576.3296723463
"206","1.3",1975,566.313441346837
"207","1.3",1976,578.099957675656
"208","1.3",1977,576.012139479429
"209","1.3",1978,564.090994783571
"210","1.3",1979,566.371915547168
"211","1.3",1980,572.701921831091
"212","1.3",1981,572.837802694319
"213","1.3",1982,576.62629722917
"214","1.3",1983,580.331065571032
"215","1.3",1984,577.697764770628
"216","1.3",1985,563.290005696404
"217","1.3",1986,559.589608847198
"218","1.3",1987,554.001809198547
"219","1.3",1988,569.205482394067
"220","1.3",1989,556.015487852545
"221","1.3",1990,562.488220659176
