"","year","Egegik","Igushik","Kvichak","Naknek","Nushagak","Ugashik","Wood"
"31",1990,541.994678746015,547.717306966157,515.739199806104,526.640302160211,537.601196784013,540.961997436018,525.489539015302
"32",1991,552.969725956366,557.810692011357,532.515300285728,566.641091507907,557.676885144081,558.534913967684,530.67614043753
"33",1992,537.126239495914,548.783682464837,535.27386804491,549.527575025515,544.087541121236,551.089520167356,526.522699480112
"34",1993,542.310472877788,530.597099725552,539.316610039228,542.507281917729,547.864320036341,541.285177457339,514.531869401586
"35",1994,540.861296674451,536.91421391207,526.085829341997,528.384045549264,547.9849775616,535.379325264706,518.60563215675
"36",1995,548.302307054196,552.239845946593,521.624246767797,535.294500261741,562.745530571425,534.533508051756,523.997901920856
"37",1996,567.365552035851,579.492605174178,568.246077877452,573.742049900375,566.095760586972,564.95518486281,543.765512762711
"38",1997,545.627093800894,565.344704264099,545.528908030608,552.87893778681,559.333797767758,545.269037685693,546.03215404973
"39",1998,558.507438232652,557.308154688881,549.505354980306,549.443234842734,572.310734403929,550.324526797432,538.717980730949
"40",1999,533.294040925564,549.559371231958,521.550362719123,536.142200074416,566.154622527251,544.514731578308,536.002779261209
"41",2000,549.189147085713,558.594878774657,541.028070912727,551.719439401497,561.484847922447,552.701361735653,528.92459023414
"42",2001,546.132235420952,549.442946058091,546.077071629372,539.888550801866,550.100864231844,547.422929004316,530.567461909474
"43",2002,535.422561493465,520.35857358931,523.968518017006,531.535925159248,554.530596727267,537.140288593081,503.109425833691
"44",2003,534.307624557648,530.444359238782,521.832971387499,528.239420471637,539.907551521999,522.148432926577,511.574676921341
"45",2004,524.030194242725,548.336788408905,522.086764346931,527.172518479624,560.82470524417,536.590980720628,523.539493962163
"46",2005,528.924413767819,549.261349831585,527.930506740517,529.128936595944,549.5110115699,542.835973578979,536.324985376338
"47",2006,529.411429480903,554.596441734042,525.912295550417,521.833393787661,559.71027683709,524.553423202053,513.110994067034
"48",2007,530.344905755733,545.709854845256,524.057923512843,517.497452819641,553.403628414197,523.166037977743,513.303705124656
"49",2008,531.210027259605,563.435396360711,529.57832498062,539.512452180936,557.764263316811,536.917812844641,526.989841526698
"50",2009,510.044703653676,554.86172603019,518.831692586227,527.485254055128,553.125364324759,530.018569028923,521.96059319891
